,Successful,N,Runtime
0,0.3833,25,0.025824041076004504
1,0.6101,50,0.048815572918974794
2,0.7392,75,0.07360332371998811
3,0.8282,100,0.09608767838397762
4,0.8814,125,0.11811149063101038
5,0.9151,150,0.1404849381299573
6,0.9362,175,0.1627883319170214
7,0.9576,200,0.18595069603802403
8,0.9662,225,0.2051436615299899
9,0.9758,250,0.22263629356003367
