residue,drugbank_id,associated_mbss
4BR,DB07103,[106839]
4BS,DB07104,[119615]
4BT,DB02141,"[64821, 64822]"
4CH,DB13154,"[69480, 69481, 69496, 69497, 75522, 75530]"
4CS,DB19171,[30037]
4HG,DB07112,"[44424, 44425]"
4HM,DB03764,[20458]
4IP,DB01863,"[79785, 79788]"
4MD,DB07115,[119885]
4MR,DB07117,"[115973, 115981, 116001, 116003, 116005, 116007]"
4MZ,DB03385,"[64953, 130919]"
4NC,DB03407,"[2641, 2643, 2644, 20348, 20349, 20350, 20351, 20352, 20353, 20354, 20355, 20356, 20357, 20358, 20359, 20737, 22372, 22373, 22374, 22375, 22376, 22377, 22378, 22379, 22380, 22381, 22382, 22383, 22384, 22385, 22386, 22387, 22388, 22389, 22390, 22391, 22392, 22393, 22394, 22395, 25306, 25307, 25308, 25309, 25310, 25311, 25312, 25313, 25314, 25315, 25316, 25317, 26680, 26681, 45928, 45931, 45933, 45934, 45984, 45985, 47671, 47681, 47682, 47683, 47684, 47690, 72579, 72584, 76854, 76885]"
4NH,DB07121,"[110806, 110817]"
4NP,DB04214,"[132070, 132071, 132072, 132073]"
4OX,DB02260,"[103735, 103736, 103737, 103738, 103739, 103740, 103741, 103742, 105426, 105427, 105428, 105429, 105430, 105431, 105432, 105433]"
4PZ,DB01213,"[68729, 68735]"
4SM,DB05088,"[10883, 10884, 10885, 10886, 10887, 10900, 10901, 10902, 10903, 10904, 10928, 10929, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937, 11000, 11001, 11002, 11003, 11004, 11005, 11006, 11007, 11008, 11009]"
4TP,DB02609,[106895]
4TR,DB04600,[109797]
4TZ,DB04601,[109765]
4UH,DB00681,"[75737, 75749]"
528,DB07136,"[116213, 116225, 116240]"
541,DB07145,"[113589, 113599]"
550,DB07147,[120398]
572,DB04478,"[106891, 106892, 106893, 106894, 106905, 106906, 106932, 106933, 106934, 106935]"
578,DB07157,"[116219, 116236, 116243]"
5CA,DB02684,"[119555, 119598]"
5DE,DB03183,"[109924, 109941]"
5FA,DB02738,"[89728, 89729, 89730]"
5FC,DB04603,[28948]
