residue,drugbank_id,associated_mbss
CSS,DB02761,"[36072, 36073, 36248, 36249, 45999, 53526, 53527, 56704, 56705, 58445, 58453, 58627, 58629, 59306, 59309, 59336, 59339, 59341, 59344, 59410, 59413, 59415, 59418, 59435, 59438, 59440, 59443, 59450, 59453, 59466, 59469, 59487, 59490, 59508, 59511, 59562, 59565, 60161, 60163, 60215, 60217, 60248, 60254, 60511, 63458, 63459, 63978, 63999, 64010, 64018, 64356, 64359]"
CSX,DB03382,"[48790, 48801, 59158, 59161, 59200, 59203, 59215, 59218, 59230, 59233, 59255, 59258, 59270, 59273, 59326, 59329, 59336, 59339, 59341, 59344, 59410, 59413, 59425, 59428, 59430, 59433, 59435, 59438, 59440, 59443, 59445, 59448, 59466, 59469, 59472, 59475, 59527, 59530]"
CT0,DB07591,"[1824, 1832]"
CTC,DB09093,"[96826, 96827]"
CTD,DB04385,"[102080, 102081]"
CTF,DB07596,[119330]
CTN,DB02097,"[25053, 25054, 113536, 113538, 113539, 113581, 113583, 113585, 113586, 113587, 113588, 132406]"
CTP,DB02431,"[79411, 79412, 79414, 79415, 81032, 81033, 82765, 82766, 84801, 84854, 84994, 84995, 84996, 85130, 90006, 90007, 90146, 90148, 90149, 90150, 90152, 90154, 90155, 90156, 90158, 90160, 90161, 90162, 91007, 92097, 92098, 92105, 92106, 121946]"
CUZ,DB03151,"[9507, 9508, 9587, 9588, 19783, 19784, 19787, 19788, 19799, 19800, 19803, 19804, 19815, 19816, 19861, 19862, 19911, 19914, 19915, 19917, 19920, 19921, 19924, 19927, 19954, 19955, 19958, 19963, 19970, 19971]"
CXA,DB03012,"[104368, 129036, 131261]"
CXF,DB03559,"[6057, 6063, 6064, 6065, 6066, 102988, 102990, 105435, 105437, 105507, 105509]"
CXS,DB02219,"[124970, 124971, 124986, 124987, 125005, 125006, 125040, 125041, 125061, 125062]"
CYK,DB07603,"[119971, 119972]"
CYS,DB00151,"[6189, 6190, 6232, 6233, 28114, 28116, 28117, 28118, 28758, 28759, 28763, 28766, 28767, 30538, 31983, 36858, 44456, 45979, 45981, 45998, 47668, 49269, 49271, 49276, 49285, 49301, 50105, 50711, 50713, 50716, 50719, 50721, 53528, 71325, 71636, 94970, 94977, 105528, 105544, 130355, 130357]"
CYU,DB02860,"[78330, 78338]"
CZA,DB07604,"[82659, 82684, 84642, 84664]"
CZZ,DB01808,"[91501, 91504, 91507, 91509]"
D1G,DB07609,"[67218, 67231]"
D1N,DB07610,"[44405, 44406, 44407, 44408, 44409, 44410, 44411, 44412]"
D2G,DB07617,"[67219, 67237, 67247, 67280]"
D2V,DB00153,[68628]
D3G,DB07621,"[67217, 67245, 67275, 67282]"
D4G,DB07623,"[67220, 67238, 67249, 67279, 67293, 67294]"
D8W,DB07050,"[119864, 119888]"
D9Z,DB07632,"[119884, 131777]"
DA2,DB01686,"[75577, 75578]"
DAB,DB03817,"[23597, 92245, 122205]"
DAH,DB01235,"[7873, 7874, 10353, 10354, 10357, 10358, 10361, 10362, 14634, 14635, 14638, 14639, 14642, 14643, 14661, 14662, 14678, 14679, 14684, 14685, 14688, 14689, 14691, 14692, 15307, 15308, 15309, 15310, 15311, 15312, 15325, 15326, 15327, 15328, 21246, 21247, 21248, 21249, 32437, 32438, 50196, 50197, 50216, 50217, 50238, 50239, 134017, 134018, 134020, 134021, 134022]"
DAL,DB01786,"[12924, 12925, 14699, 14700, 30705, 30710, 105187, 133090, 133091, 133101, 133102, 133746, 133794, 133797, 133800, 133803]"
DAO,DB03017,"[32439, 32440, 32441, 32442, 32477, 32478, 32479, 32480, 72632, 72633, 105732, 105734]"
DAR,DB04027,"[27691, 27692, 50087, 132200]"
DAS,DB02655,[105184]
DB1,DB04476,"[21871, 21872, 21882]"
DBH,DB01672,"[20583, 20584, 20589, 23609, 24071, 24074, 24075, 24105, 24956, 26426, 26561, 26570, 26572, 26601, 84904, 84905, 84926, 84927, 84965, 84966, 84972, 84973]"
DBR,DB04032,[66260]
DBS,DB02710,"[20583, 20584, 20589, 24071, 24075, 28847, 30713, 37508]"
DCD,DB02520,"[7680, 7681, 7720, 7721]"
DCF,DB00552,"[101871, 101880, 101888, 101930, 116202]"
DCO,DB04317,"[78516, 78517, 78518, 78519]"
DCP,DB03258,"[39564, 39565, 39566, 39567, 39590, 39592, 39594, 39596, 39622, 39624, 78740, 78749, 81354, 81355, 83705, 90611, 90612, 92949, 92950, 94279, 94280, 94294, 94296, 94302, 94304, 94306, 94307, 94341, 94342, 95030, 131212, 131213]"
DCY,DB03201,"[29394, 29398, 103287, 120778, 120805]"
DCZ,DB02594,[26621]
DDH,DB03418,[77219]
DDN,DB04280,"[108969, 108970, 108971, 108972, 109021, 109022, 109023, 109024, 109025, 109026, 109027, 109028, 109029, 109030, 109031, 109032, 114507, 114508, 114509, 114510, 114511, 114512, 114513, 114514, 114515, 114516, 114517, 114518]"
DEB,DB04070,"[65557, 66070, 66940, 66944, 66955, 73147, 73148, 73156, 73157, 73186, 73189, 73197, 73200, 73208, 73215, 73218, 73222, 73232, 73234, 73241, 75039, 75051, 75085, 75099, 75113, 75127, 75632, 75635, 75636, 75639, 75649, 75650, 75652, 75653, 75654, 75656, 75657, 75662, 75663, 75664, 75672, 75673, 75683]"
DED,DB03165,"[81821, 81826]"
DEO,DB04405,"[107568, 107570]"
DEU,DB02173,"[6377, 6380, 6381]"
DFB,DB04312,"[105765, 105767, 105825, 105827, 107300, 107302]"
DGG,DB03979,"[64793, 64798, 64809, 64810]"
DGI,DB03491,"[93272, 93273, 93274, 93275, 93276, 93277, 93278, 93279, 93280, 93281, 93282, 93283]"
DGL,DB02517,"[30705, 30710, 105151]"
DGN,DB02174,[27098]
DGT,DB02181,"[81055, 81058, 81450, 81528, 82645, 82668, 88683, 88684, 88685, 88686, 88687, 88688, 88690, 88691, 88698, 88699, 88700, 88701, 88702, 88703, 88719, 88720, 88733, 88734, 89849, 89850, 93195, 93196, 93451, 93452, 93453, 93454, 93455, 93456, 93457, 93458, 93459, 93460, 93461, 93462, 93463, 93464, 93471, 93472, 93473, 93476, 93477, 93478, 93479, 93480, 93481, 93501, 93502, 93503, 94093, 94094, 94126, 94127, 94128, 94153, 94154, 94155, 95036, 95037]"
DHB,DB03946,"[20108, 20109, 20336, 20337, 20338, 20339, 20340, 20341, 20342, 20343, 20344, 20345, 20346, 20347, 22031, 22032, 22033, 22034, 22035, 22036, 22037, 22038, 22039, 22040, 22041, 22042, 22057, 22058, 22059, 22060, 22061, 22062, 22063, 22064, 22065, 22066, 22067, 22068, 22104, 22105, 22106, 22107, 22108, 22109, 22110, 22111, 22112, 22113, 22114, 22115, 22348, 22349, 22350, 22351, 22352, 22353, 22354, 22355, 22356, 22357, 22358, 22359, 24951, 24952, 25244, 25245, 25246, 25247, 25248, 25249, 25250, 25251, 25252, 25253, 25254, 25255, 25424, 25425, 25454, 25455, 25456, 25457, 25458, 25459, 25460, 25461, 25462, 25463, 25464, 25465, 25512, 25513, 25514, 25515, 25516, 25517, 25518, 25519, 25520, 25521, 25522, 25523, 44001, 45775, 82501, 82502, 82520, 100759, 100760]"
DHE,DB03469,"[77274, 77275, 77282, 77283, 77284, 77285, 77292, 77293, 77298, 77299, 77300, 77301, 77302, 77303, 77304, 77305, 77306, 77307, 77308, 77309, 77310, 77311, 77312, 77313, 77314, 77315, 77316, 77317, 77318, 77319, 77320, 77321, 77322, 77323, 77335, 77336, 77338, 77339, 77340, 77341, 77342, 77343, 77349, 77350, 77352, 77360, 77361, 77362, 77404, 77405, 77441, 77442, 77486, 77487]"
DHY,DB01702,"[21054, 21055, 21056, 21057, 25267, 25268, 25269, 25270, 25271, 25272, 25273, 25274, 25275, 25276, 25277, 25278, 25631, 25632, 25633, 25634, 25635, 25636, 25637, 25638, 25639, 25640, 25641, 25642, 45937, 45947, 47646, 47647, 47658, 47659, 47662, 48100, 48101, 77860, 77861, 77862, 77863]"
DIF,DB00586,"[65959, 72094]"
DIG,DB02172,"[77668, 77669, 77670, 77671, 77672, 77673, 77674, 77675]"
DII,DB02127,"[106798, 106799, 106800, 106801]"
DIO,DB03316,"[26533, 26540, 26571, 69515, 75982]"
DIR,DB02499,"[79541, 79542, 79543, 79544, 79545, 79546]"
DLE,DB01746,[131489]
DMA,DB01785,"[58869, 58870, 58879, 58886, 80997]"
DMI,DB03789,"[64731, 64761]"
DMJ,DB03955,[104190]
DMO,DB03856,"[82739, 82740, 82741, 82742, 82743, 82744, 82783, 82784, 82785, 82786, 82787, 82788]"
DMS,DB01093,"[5789, 5794, 6492, 6509, 9607, 9608, 17468, 60995, 67438, 67463, 68027, 68040, 68044, 68056, 68669, 68682, 71273, 72357, 72375, 72394, 72405, 72562, 72563, 72566, 72567, 73000, 73001, 73227, 73616, 73634, 73644, 73664, 74197, 74205, 74209, 74211, 74216, 74217, 74226, 74231, 74301, 74303, 74317, 74319, 75181, 75190, 78364, 78365, 78367, 78368, 78372, 78374, 78377, 78378, 78379, 78381, 87844, 87845, 87851, 87856, 88445, 88524, 88533, 88588, 88590, 88592, 88593, 88594, 88595, 88597, 88599, 88603, 88605, 88608, 88609, 88610, 88611, 88613, 88633, 88960, 89732, 90231, 90234, 90235, 90243, 90244, 90246, 90247, 90333, 90335, 90339, 90341, 90537, 91798, 95304, 99130, 107160, 107161, 107170, 109946, 115839, 115841, 120372, 123182, 123463, 124866, 128967, 130341, 130343, 130598, 130600, 130605, 132509, 135678, 135679, 135680, 135681, 135688]"
DMV,DB03675,"[79360, 79361, 79362, 79363, 79399, 79400, 79401, 79402]"
DMZ,DB07670,"[65909, 65941, 65942, 65943, 65944]"
DND,DB04099,[66650]
DNO,DB12907,[82309]
DOC,DB02883,"[83928, 91518, 91524, 91543]"
DOD,DB19251,"[2073, 2074, 2075, 2076, 2077, 2078, 2079, 2080, 15529, 15530, 15531, 15533, 15534, 15535, 15537, 15538, 15539, 17241, 17242, 17243, 17244, 57999, 58000, 64786, 65660, 67192, 67194, 69462, 69464, 70253, 70254, 70857, 70858, 72981, 75027, 75028, 82091, 82092, 82093, 82094, 85964, 85965, 85966, 85967, 85968, 85969, 85970, 85971, 86667, 86668, 89718, 92182, 92762, 92763, 92764, 92765, 95274, 95276, 95278, 95280, 95282, 95284, 97655, 97656, 97657, 97658, 97659, 97660, 97661, 97662, 97663, 97664, 97665, 97666, 98272, 98273, 98274, 98275, 98276, 98277, 98278, 98279, 98280, 98281, 98282, 98283, 98878, 98879, 98880, 98881, 98882, 98883, 98884, 98885, 98886, 98887, 98888, 98889, 100751, 100981, 101755, 120765, 120766, 120767, 120768, 120769, 120770, 122047, 122083, 122085, 122087, 122120, 122121, 122122, 122460, 126327, 130334, 133262, 133263, 133264, 133265, 133266, 133267, 133268, 133269, 134259]"
DOR,DB02129,"[109594, 109595, 118632, 118633, 118638, 118639, 118652, 118653, 118673, 118674, 118675, 118676, 118695, 118696, 118700, 118701, 118702, 118703, 128355, 128356, 128357, 128358, 128359, 128360, 128532, 128533, 128534, 128535, 128554, 128555, 128558, 128559, 128569, 128570, 128573, 128574, 128576, 128577, 128579, 128580, 128582, 128583, 128585, 128586, 128609, 128610, 128612, 128613]"
DP1,DB01821,"[66101, 66102, 66112, 66113, 66117, 66118, 66154, 66155, 67023, 67024]"
DP3,DB02027,"[66104, 66105, 66122, 66123]"
DP9,DB02077,"[66126, 66127, 66974, 66975, 66977, 66978, 66980, 66981, 66983, 66984]"
DPJ,DB07674,"[1998, 1999, 2056, 2057, 2063, 2064, 2065, 2066, 2102, 2103, 2104, 2105, 2289, 2290, 2326, 2327, 2328, 2329, 4044, 4045, 4046, 4047]"
DPN,DB02556,"[108053, 108054]"
DPS,DB02449,"[102572, 102612, 102634, 102636]"
DQH,DB02224,[20424]
DR4,DB04680,"[80171, 80192, 80193]"
DRB,DB01663,[66165]
DSB,DB04560,"[103128, 103129, 103130, 103131, 103132, 103133, 103134, 103135, 104315, 104317, 104319, 104321]"
DSG,DB03943,[133750]
DSN,DB03929,"[2053, 2054, 2058]"
DSO,DB03031,"[66254, 70056, 70057]"
DST,DB02270,[118761]
DSV,DB07683,[115003]
DTB,DB03775,[97875]
DTP,DB03222,"[80818, 80819, 80830, 80831, 83135, 83136, 85782, 85783, 88840, 88841, 88842, 88843, 88844, 88845, 88846, 88847, 88848, 88849, 88850, 88851, 88860, 88861, 88862, 88863, 88864, 88865, 88866, 88867, 88870, 88871, 89269, 89270, 89271, 89291, 90608, 90609, 91099, 91325, 91326, 91346, 91347, 93291, 94264, 94274, 94277, 94950, 94951, 95028, 95029]"
DTR,DB03225,"[67897, 108041, 108042]"
DTT,DB04447,"[6981, 55883, 55917, 55918, 61638, 74171, 74172, 74207, 74208, 107814, 107815, 110264, 110267, 131359, 133527]"
DTU,DB01692,"[60484, 69270]"
DTV,DB02184,"[44935, 44936, 45161, 45162, 61880, 61882, 69268, 69269, 69283, 69293, 75565, 75566, 122250, 122268, 122269, 122282]"
DU,DB03800,"[133993, 133994, 133995, 133996, 133997, 133998, 134029, 134030, 134031, 134032, 134033, 134034]"
DUC,DB01849,"[108446, 108447, 113671, 113672, 113673, 113674, 113675, 113676, 113677, 113678]"
DUD,DB03413,"[80916, 80917, 80918]"
DUP,DB01965,"[81353, 83122, 83123, 83124, 83905, 83906, 83907, 83910, 83927, 83928, 83929, 88706, 88707, 90022, 90023]"
DZZ,DB04687,"[1799, 1801, 1802, 1803]"
E4H,DB07703,[76016]
E4Z,DB15675,"[90434, 90435, 90439, 90440, 90450, 90451, 90452, 90453, 90454, 90455, 90456, 90457, 90458, 90459, 90460, 90461, 90464, 90465, 90468, 90469, 90471, 90472, 90476, 90477, 90481, 90482, 90486, 90487, 90492, 90493, 92475, 92476, 92636, 92637, 92638, 92639, 92640, 92641, 92642, 92643, 92658, 92659, 92660, 92661, 92662, 92663, 92664, 92665, 92666, 92667, 92668, 92669, 92670, 92671, 92672, 92673, 93314, 93315, 93325, 93326, 93336, 93337, 94678, 94679]"
EAL,DB09477,"[108696, 117950]"
ECN,DB07705,"[67893, 67894, 67895, 67896, 69345, 69346, 69359, 69360, 70037, 70049, 71189, 71206, 71215, 71221]"
EDT,DB00974,"[20711, 22081, 22084, 28028, 29520, 29701, 32545]"
EFS,DB03822,"[2293, 2294]"
EG2,DB02535,[102648]
EG3,DB07710,[102649]
EGT,DB03823,[43617]
EH9,DB07711,[118717]
EI3,DB11932,[99008]
EIN,DB07713,[110628]
EIP,DB01799,"[60891, 60892, 60902, 60907, 78920, 78921, 79125, 79126, 79221, 79222, 80859, 80860]"
ENC,DB03399,"[64497, 64501, 67350, 67351, 67352, 67353, 67500, 67506]"
ENO,DB07718,"[27596, 27597, 49238]"
EOH,DB00898,"[8580, 20418, 20419, 99245, 99246, 100331, 101949, 101951, 101955, 101957, 103371, 103373, 103375, 103377]"
EPB,DB03010,[66141]
EPD,DB01873,[66135]
EPE,DB16872,"[702, 16945, 16946, 16947, 16948, 16949, 16950, 26507, 28808, 28809, 28810, 28811, 28828, 28829, 28830, 28831, 61006, 61140, 61141, 74927, 82950, 82951, 82972, 82973, 83013, 83014, 83015, 83016, 95301, 95344, 122903]"
EPL,DB07721,"[2061, 2062, 2093, 2094, 2095, 2096, 2243, 2244, 2245, 2246, 2600, 2601, 2602, 2603]"
ERY,DB00199,[67420]
ETF,DB03226,"[17722, 17727, 17728, 18310, 18315, 18316, 101891, 101893, 102088, 102090, 102092, 102094, 102132, 102134, 107573, 107575, 107577, 107579, 129177, 129179, 133249, 133251]"
ETN,DB02396,[66405]
ETS,DB00869,"[102610, 120921, 120935, 131778, 132749, 132771]"
ETX,DB02249,"[107378, 107380, 107382, 107384]"
EV1,DB01113,[75221]
EZL,DB00311,"[119556, 123401]"
F2B,DB07742,"[103578, 103601]"
F42,DB03913,"[94160, 94161, 94162, 94163, 94164, 94165]"
F6B,DB03844,"[103583, 103602]"
F6R,DB04493,"[85959, 85960, 113900, 113901]"
F77,DB07746,"[80725, 80726]"
FAD,DB03147,"[15425, 15433, 15454, 72429, 74764, 74765, 91789, 91790, 94337, 94340, 94343, 94353, 94354, 94355, 94360, 94362, 123357, 123361]"
FBD,DB07754,"[119865, 119866, 119867, 119868]"
FBP,DB04551,[94189]
FBS,DB01784,[104284]
FBT,DB03270,[104290]
FBU,DB02087,[104289]
FC2,DB07758,"[80763, 80764]"
FC3,DB07759,"[80761, 80762]"
FCD,DB02909,"[80020, 80021, 82926, 82927, 82974, 82975, 82976, 82977, 82978, 82979]"
FCI,DB03574,"[77400, 77427]"
FCN,DB00828,"[3878, 3879, 78675, 78676, 85632, 85633, 89522, 89523, 94612, 98487, 98488, 111325, 111326, 111327, 111328, 131381, 131382, 131506, 131507, 131534, 131535, 131536, 131537]"
FEA,DB02013,"[57753, 58141, 58142, 58143, 58144, 58145, 58146, 58147, 58148, 58158, 58159, 58160, 58161, 58162, 58163, 58164, 58165, 58166, 58167]"
FEM,DB01703,[65232]
FFB,DB02610,"[103593, 103603]"
FGA,DB02517,"[77905, 77908, 80408, 80418, 81018, 82523, 82534, 82537, 82572, 82588, 82590, 82605, 82620, 82666, 88806, 90906, 90915, 90921, 90924]"
FGL,DB02289,"[23712, 23713, 23714, 23715, 23716, 23717, 23718, 23719]"
FIN,DB07772,[110664]
FLP,DB16159,[66231]
FLV,DB02521,"[66411, 67135]"
FLX,DB02046,"[127928, 127929]"
FME,DB04464,[84649]
FMF,DB02318,[107325]
FMN,DB03247,"[76480, 90206, 90207, 90208, 90209, 90615, 90616, 90617, 90618, 90619, 90620, 91272, 91273, 91476, 91477, 91512, 91513, 91521, 91522, 91975, 91976, 91995, 91996, 96096, 96098]"
FMT,DB01942,"[1613, 2370, 2371, 5018, 5019, 9644, 9645, 9646, 11652, 11654, 11656, 11682, 11684, 11686, 11688, 11689, 11691, 11692, 11694, 11695, 11697, 11698, 11700, 11701, 11703, 11704, 20371, 20372, 20375, 20376, 20383, 20384, 20416, 20417, 21873, 25390, 25391, 30598, 30599, 30600, 30601, 50012, 50013, 61135, 61136, 61142, 61143, 65931, 66046, 66047, 66048, 66049, 66271, 66272, 66273, 66274, 67103, 67119, 70772, 71895, 72480, 72481, 72533, 78288, 78289, 78290, 78291, 78410, 78412, 78414, 78416, 78418, 78420, 78628, 78630, 78632, 78634, 78636, 78638, 81788, 81790, 81792, 81794, 81796, 81798, 81914, 81915, 81942, 81943, 81946, 81947, 82494, 82507, 82510, 82531, 87233, 87234, 87235, 87236, 87237, 87238, 87239, 87240, 87241, 87242, 87243, 87244, 87245, 87246, 87247, 87248, 87249, 87250, 87251, 87252, 87253, 87254, 87255, 87256, 87257, 87258, 87259, 87260, 87261, 87262, 87263, 87264, 87265, 87266, 87267, 87268, 87269, 87270, 87271, 87272, 87273, 87274, 87275, 87276, 87277, 87278, 87279, 87280, 88681, 88682, 90833, 90835, 90837, 90839, 90841, 90843, 93271, 93286, 93293, 93315, 93326, 93337, 93547, 93548, 94291, 94298, 94787, 94788, 94789, 94790, 94791, 94792, 94793, 94794, 94795, 94796, 94797, 94798, 94799, 94800, 94801, 94802, 94803, 94804, 94805, 94806, 94807, 94808, 94809, 94810, 94811, 94812, 94813, 94814, 94815, 94816, 94817, 94818, 94819, 94820, 94821, 94822, 94823, 94824, 94825, 94826, 94827, 94828, 94829, 94830, 94831, 94832, 94833, 94834, 94839, 94840, 94841, 94842, 94843, 94844, 94845, 94846, 94847, 94848, 94849, 94850, 94851, 94852, 94853, 94854, 94855, 94856, 94857, 94858, 94859, 94860, 94861, 94862, 94863, 94864, 94865, 94866, 94867, 94868, 94869, 94870, 94871, 94872, 94873, 94874, 94875, 94876, 94877, 94878, 94879, 94880, 94881, 94882, 94883, 94884, 94885, 94886, 94887, 94888, 94889, 94890, 94891, 94892, 94893, 94894, 94895, 94896, 94897, 94898, 94899, 94900, 94901, 94902, 94903, 94904, 94905, 94906, 94907, 94908, 94909, 94910, 94911, 94912, 94913, 94914, 94915, 94916, 94917, 94918, 94919, 94920, 94921, 94922, 94923, 94924, 94925, 94926, 94927, 94928, 94929, 94930, 94931, 94932, 94933, 94934, 96081, 96082, 96083, 96084, 96085, 96086, 96101, 96102, 96103, 96104, 96105, 96106, 97192, 97576, 97577, 104192, 104193, 104198, 104199, 104200, 104201, 108840, 108841, 108855, 108856, 108857, 108858, 108860, 108861, 109662, 109962, 109963, 109983, 109984, 109985, 109986, 118434, 118435, 118436, 118437, 119550, 119599, 119632, 119633, 120095, 121099, 121141, 121793, 121795, 121827, 121829, 121831, 121833, 123889, 123890, 123891, 123892, 126560, 126563, 127451, 127455, 127461, 127465, 127479, 127481, 127486, 127488, 128397, 128398, 128399, 128411, 128432, 128438, 128450, 128454, 128464, 128468, 128536, 128540, 128634, 128636, 128673, 128676, 129103, 129110, 129123, 129140, 132283, 132296, 132330, 132333, 132335, 132338, 134205, 134208, 134213, 134217]"
FOC,DB03815,"[78013, 78014, 78015, 78055, 78056, 78220, 78221, 78222, 78223, 78224, 82339, 82341, 82343, 82345, 82347, 82349]"
FOM,DB02948,"[79109, 79110, 84549, 86592, 86593, 86607, 86608, 86680, 86681]"
FOR,DB03843,"[44198, 58265, 58266, 75950, 75951, 75952, 75953]"
FPI,DB04113,"[105422, 105424, 105463, 105465]"
FPP,DB07780,[124879]
FPY,DB04135,"[21236, 21237, 21238, 21239, 21240, 21241, 21265, 21266, 21267, 21268, 21269, 21270, 21271, 21272, 21273, 21274, 21275, 21276]"
FR0,DB02616,[106100]
FR2,DB02096,[106102]
FR3,DB03572,[106103]
FR6,DB03220,[112125]
FR7,DB03370,[108799]
FR9,DB02830,[106442]
FRI,DB02555,"[107292, 107299, 107308, 107310, 107314]"
FRL,DB07786,[109368]
FSB,DB02069,"[103550, 103582]"
FU2,DB16856,"[125594, 125598, 125600, 125608, 125610, 125624, 125626, 125628, 125630, 125645, 125649, 125651, 125660, 125662, 125664, 125726, 125728]"
FUG,DB02640,"[1028, 1029, 24588, 24589, 24603, 24604]"
FUM,DB01677,"[22409, 88447, 88458, 88467, 88521, 88528, 88586, 99182, 99192]"
FUN,DB00695,[110388]
FVX,DB00176,[71054]
FXY,DB02131,"[108353, 108355]"
G,DB01972,[89045]
G16,DB02835,"[84208, 113417]"
G2P,DB03532,"[83740, 83741, 83789, 83790, 94447, 94448, 94449, 94478, 94479, 94480, 94510, 94511, 94512, 94526, 94527, 94528, 94948, 94949, 94954, 94955, 111369, 111370]"
G3H,DB02263,"[78099, 78100, 78101, 78102, 103744, 103746, 103748, 103750, 103787, 103789, 103806, 103807]"
G3P,DB02515,"[1407, 1408]"
G4P,DB04022,"[84963, 84964, 91368, 93324, 93347, 93371, 93379]"
G6P,DB02007,"[79597, 79629, 79632, 91389, 91403, 91412, 91415, 91819, 91821, 91822]"
GB4,DB07818,[114675]
GB5,DB07819,"[114674, 114734]"
GBP,DB03889,"[107185, 107186]"
GCO,DB13180,"[80096, 80097, 80098, 80099, 80100, 80101, 80102, 80103]"
GCP,DB03725,"[78349, 78350, 78520, 78521, 78526, 78527, 93287]"
GDP,DB04315,"[1134, 1136, 1137, 1139, 1532, 1535, 1544, 1549, 1651, 1652, 1654, 1655, 1657, 1658, 1660, 1661, 1694, 1695, 1697, 1698, 1751, 1752, 1754, 1755, 1773, 1774, 1776, 1777, 1800, 1804, 1818, 1819, 1820, 1821, 1922, 1923, 1924, 1925, 1964, 1965, 1966, 1967, 2258, 2259, 23101, 23102, 23103, 23104, 39224, 39225, 39226, 39227, 79429, 79430, 79433, 79434, 80844, 80863, 80878, 80890, 81368, 81369, 81370, 81371, 81547, 81548, 81978, 82009, 82492, 82528, 82594, 82596, 83323, 84176, 84177, 84220, 84221, 84262, 84274, 84292, 84486, 84487, 84532, 84533, 85283, 85308, 85311, 87067, 87414, 87424, 87425, 87435, 87436, 87742, 87806, 88375, 88725, 89568, 89594, 91847, 91878, 92100, 92110, 92117, 92138, 92143, 92163, 92816, 92852, 93290, 93589, 93590, 93591, 93592, 93762, 93763, 93764, 93765, 94160, 94161, 94162, 94163, 94164, 94165, 116185, 116189, 116191, 116193, 116197, 116199]"
GDU,DB03501,"[4524, 4525, 4565, 78965, 78973, 79559, 79564, 80124, 80164, 81627, 81651, 81652, 81852, 81868, 85958, 85972, 87919, 87920, 87926, 87927, 87932, 87933, 88996, 88997, 90507, 90508]"
GDX,DB04023,"[80520, 80521, 80522, 80523, 80546, 80547, 80548, 80549, 80659, 80660, 80661, 80662]"
GEM,DB04489,"[103896, 123540, 123548, 123567, 123676, 126962, 127070, 127071, 127072, 127073, 127074, 127075, 127745]"
GFB,DB18689,"[93772, 93773, 93774, 93775]"
GGB,DB01833,"[27771, 27772, 74523, 74524, 90123]"
GH9,DB02924,"[75781, 75786]"
GHA,DB02492,[108132]
GIP,DB03330,"[107198, 107199]"
GJZ,DB00752,"[69572, 69577]"
GLN,DB00130,"[36838, 132345]"
GLO,DB01914,"[5489, 97623, 97624, 97625, 97626, 97627, 97628, 97629, 97630, 97631, 97632, 97633, 97634, 97655, 97656, 97657, 97658, 97659, 97660, 97661, 97662, 97663, 97664, 97665, 97666]"
GLP,DB02657,"[23586, 23587, 23588, 23589, 23590, 23591, 23592, 23593]"
GLU,DB00142,"[50701, 50702, 50703, 81405, 81406, 81407, 81408, 81409, 81410, 81411, 81412, 81413, 81414, 81415, 81416, 81417, 81418, 81419, 81420, 81421, 81422, 81423, 81424, 81425, 81426, 81427, 81428, 88019, 96511, 96534, 102932, 105100, 109731, 111550, 111551, 111552, 111553, 120783, 120784, 120785, 120786, 132262, 132273, 132813, 132814, 132815, 132816]"
GLV,DB04343,"[80787, 80788, 80789, 80790, 80791, 80792, 80834, 80835, 80836, 80837, 80838, 80839, 86765, 86766, 86767, 86768]"
GLY,DB00145,"[20425, 89002, 89003, 89004, 89005, 89006, 89007, 89008, 89009, 89010, 89011, 89012, 89013, 89014, 89015, 89022, 89023, 89024, 89025, 89026, 89027, 89034, 89035, 89036, 89037, 89046, 89047, 89922, 89923, 89924, 89925, 91239, 91240, 91241, 91242, 91429, 91430, 91431, 91432, 91445, 91446, 91454, 91455, 91456, 91457, 107154, 107155, 107171, 107172, 107173, 107174, 109963, 109981, 109984, 109986, 117415, 117416, 117417, 117472, 117473, 119701, 122865, 122951, 128782, 128813, 130355, 130356, 130357, 130358, 131306, 131307, 131308, 131309]"
GM6,DB02255,"[936, 937, 978, 979, 106996, 107007, 112101, 112103, 112105, 112110, 112144, 112338, 112435, 134086]"
GMH,DB04526,"[77426, 96192, 96475]"
GNB,DB03130,[107227]
GNP,DB02082,"[85828, 85829, 85830, 85831, 87396, 99899, 99901]"
GNR,DB02036,"[96500, 96507]"
GOA,DB03085,"[29145, 29146, 29147, 29148, 29149, 29150, 29151, 29152, 29153, 29154, 29289, 29290, 29291, 29292, 29293, 29294, 29295, 29296, 29297, 29298, 29375, 29376, 29377, 29378, 29379, 29380, 29381, 29382, 29383, 29384, 36173, 36236, 83048, 83050, 83052, 83053, 83087, 83088, 83091, 83092, 83152, 83153, 83155, 83156, 83159, 83160, 87803, 87804, 87813, 87814, 87818, 87819, 99887, 99902]"
